employee_id,department_id,role_id,region_id,date_id,monthly_income,salary_band,years_at_company,years_in_current_role,years_since_last_promotion,overtime_flag,training_times_last_year,job_satisfaction,environment_satisfaction,work_life_balance,performance_rating,attrition_flag,annualized_income,estimated_replacement_cost
35,3,8,us_national,202401,6825,High,9,7,4,0,2,2,3,3,3,0,81900,98280.0
36,2,1,us_national,202401,10248,High,22,6,5,0,4,4,1,3,3,0,122976,98380.8
38,3,4,us_national,202401,18947,High,2,2,2,0,2,1,2,2,3,0,227364,181891.2
39,2,3,us_national,202401,2496,Low,1,1,0,0,3,4,3,3,3,0,29952,23961.6
40,2,1,us_national,202401,6465,Mid,4,2,1,1,5,4,4,4,3,0,77580,62064.0
41,2,3,us_national,202401,2206,Low,10,0,1,0,5,3,4,3,3,0,26472,21177.6
42,3,9,us_national,202401,2086,Low,1,0,0,0,6,4,4,4,3,1,25032,20025.6
45,2,7,us_national,202401,2293,Low,2,0,2,1,2,4,2,2,3,1,27516,33019.2
46,2,7,us_national,202401,2645,Low,5,3,1,0,3,3,4,2,3,0,31740,38088.0
47,3,9,us_national,202401,2683,Low,3,2,0,1,2,3,1,3,3,1,32196,25756.8
49,3,9,us_national,202401,2014,Low,2,2,2,0,3,4,4,3,3,0,24168,19334.4
51,2,7,us_national,202401,3419,Low,1,1,0,1,3,1,2,4,3,0,41028,49233.6
52,3,8,us_national,202401,5376,Mid,5,3,1,0,3,1,3,3,3,0,64512,77414.4
53,2,3,us_national,202401,1951,Low,1,0,0,0,3,4,3,3,3,0,23412,18729.6
54,2,3,us_national,202401,2341,Low,1,0,0,0,6,1,4,3,3,0,28092,22473.6
55,2,3,us_national,202401,2293,Low,1,0,0,0,2,3,1,2,3,1,27516,22012.8
56,3,8,us_national,202401,8726,High,9,8,1,0,0,3,4,3,3,0,104712,125654.4
57,2,3,us_national,202401,4011,Low,12,8,3,0,2,4,3,3,4,0,48132,38505.6
58,2,6,us_national,202401,19545,High,22,15,15,0,0,3,2,3,3,1,234540,187632.0
60,3,8,us_national,202401,4568,Mid,9,5,8,0,2,3,2,3,4,0,54816,65779.2
61,2,7,us_national,202401,3022,Low,1,0,0,0,1,2,2,3,4,0,36264,43516.8
62,3,8,us_national,202401,5772,Mid,9,6,0,1,4,4,1,3,4,0,69264,83116.8
63,2,3,us_national,202401,2269,Low,1,0,0,0,2,4,4,3,3,0,27228,21782.4
64,2,3,us_national,202401,5381,Mid,1,0,0,1,2,3,1,3,3,1,64572,51657.6
65,2,3,us_national,202401,3441,Low,2,2,2,1,3,3,3,2,3,1,41292,33033.6
68,3,8,us_national,202401,5454,Mid,4,3,1,1,2,1,2,2,4,0,65448,78537.6
70,2,1,us_national,202401,9884,High,4,0,2,1,3,1,3,3,3,0,118608,94886.4
72,3,8,us_national,202401,4157,Low,2,2,0,1,2,4,3,2,3,0,49884,59860.8
73,2,6,us_national,202401,13458,High,15,14,8,1,1,4,1,3,3,0,161496,129196.8
74,3,8,us_national,202401,9069,High,9,8,1,0,3,1,2,2,4,0,108828,130593.6
75,2,3,us_national,202401,4014,Low,2,2,2,1,3,1,3,3,3,0,48168,38534.4
76,2,3,us_national,202401,5915,Mid,7,7,1,0,3,4,4,2,4,0,70980,56784.0
77,2,5,us_national,202401,5993,Mid,7,5,0,0,2,3,1,4,3,0,71916,57532.8
78,2,5,us_national,202401,6162,Mid,9,8,7,1,3,4,1,3,4,0,73944,59155.2
79,2,3,us_national,202401,2406,Low,10,3,9,0,2,4,4,3,3,0,28872,23097.6
80,2,6,us_national,202401,18740,High,27,3,13,1,2,3,2,2,3,0,224880,179904.0
81,3,8,us_national,202401,7637,High,21,16,7,0,3,1,1,2,3,0,91644,109972.8
83,2,1,us_national,202401,10096,High,17,14,12,0,2,3,3,3,3,0,121152,96921.6
84,2,4,us_national,202401,14756,High,5,0,0,1,2,3,4,3,3,0,177072,141657.6
85,2,5,us_national,202401,6499,Mid,6,5,0,0,3,2,2,3,3,0,77988,62390.4
86,2,7,us_national,202401,9724,High,1,0,0,0,2,1,2,3,3,0,116688,140025.6
88,2,7,us_national,202401,2194,Low,3,2,1,0,2,1,2,2,3,0,26328,31593.6
90,2,7,us_national,202401,3388,Low,1,0,0,1,0,3,4,2,3,1,40656,48787.2
91,3,8,us_national,202401,5473,Mid,4,3,1,0,2,3,1,2,3,0,65676,78811.2
94,2,7,us_national,202401,2703,Low,5,4,0,0,3,2,3,3,4,0,32436,38923.2
95,2,7,us_national,202401,2501,Low,1,1,1,0,4,2,3,3,3,0,30012,36014.4
96,2,7,us_national,202401,6220,Mid,10,4,0,0,3,2,2,3,3,0,74640,89568.0
97,2,3,us_national,202401,3038,Low,1,0,0,0,3,4,2,3,3,0,36456,29164.8
98,2,5,us_national,202401,4424,Low,11,7,1,0,2,4,3,3,4,0,53088,42470.4
100,3,8,us_national,202401,4312,Low,15,13,2,0,2,1,3,3,3,0,51744,62092.8
101,2,6,us_national,202401,13245,High,0,0,0,1,3,1,4,4,3,0,158940,127152.0
102,2,6,us_national,202401,13664,High,5,2,0,0,3,3,1,4,3,0,163968,131174.4
103,1,2,us_national,202401,5021,Mid,4,2,0,1,2,2,2,3,4,0,60252,48201.6
104,2,3,us_national,202401,5126,Mid,10,8,3,1,1,4,4,2,3,0,61512,49209.6
105,2,7,us_national,202401,2859,Low,6,4,0,0,3,3,2,3,3,0,34308,41169.6
106,3,8,us_national,202401,10239,High,1,0,1,0,4,4,1,3,3,0,122868,147441.6
107,2,7,us_national,202401,5329,Mid,13,11,1,1,3,4,2,3,3,0,63948,76737.6
110,2,5,us_national,202401,4325,Low,5,2,1,0,2,2,1,3,3,0,51900,41520.0
112,2,5,us_national,202401,7260,High,6,4,0,0,3,4,4,2,3,0,87120,69696.0
113,3,9,us_national,202401,2322,Low,0,0,0,0,3,1,3,3,3,0,27864,22291.2
116,2,3,us_national,202401,2075,Low,4,2,0,0,4,4,4,3,4,0,24900,19920.0
117,2,1,us_national,202401,4152,Low,11,10,10,0,3,4,3,3,3,0,49824,39859.2
118,3,8,us_national,202401,9619,High,9,8,4,0,3,4,3,3,3,1,115428,138513.6
119,2,1,us_national,202401,13503,High,22,3,11,0,3,2,3,2,4,0,162036,129628.8
120,3,8,us_national,202401,5441,Mid,10,7,1,1,2,4,3,1,4,0,65292,78350.4
121,3,8,us_national,202401,5209,Mid,11,8,2,1,4,2,3,2,3,0,62508,75009.6
124,2,1,us_national,202401,10673,High,10,9,9,1,5,1,3,2,3,0,128076,102460.8
125,3,8,us_national,202401,5010,Mid,11,8,5,0,0,3,2,3,3,0,60120,72144.0
126,2,6,us_national,202401,13549,High,4,3,0,0,5,3,1,1,3,0,162588,130070.4
128,3,8,us_national,202401,4999,Mid,3,2,0,0,2,3,1,2,4,0,59988,71985.6
129,3,8,us_national,202401,4221,Low,5,4,0,0,3,3,2,4,3,0,50652,60782.4
131,3,8,us_national,202401,13872,High,37,10,1,0,1,3,4,2,3,0,166464,199756.8
132,2,3,us_national,202401,2042,Low,3,2,1,0,3,2,2,4,3,0,24504,19603.2
133,1,2,us_national,202401,2073,Low,3,2,0,1,3,1,3,3,4,1,24876,19900.8
134,2,7,us_national,202401,2956,Low,1,0,0,0,2,1,4,3,3,0,35472,42566.4
137,2,3,us_national,202401,2926,Low,1,0,1,1,5,4,4,3,3,1,35112,28089.6
138,2,7,us_national,202401,4809,Mid,16,13,2,0,3,3,1,3,3,0,57708,69249.6
139,2,1,us_national,202401,5163,Mid,1,0,0,0,2,4,3,4,3,0,61956,49564.8
140,1,4,us_national,202401,18844,High,3,2,2,0,3,4,3,3,4,0,226128,180902.4
141,2,6,us_national,202401,18172,High,8,3,0,1,1,2,1,2,3,0,218064,174451.2
142,3,8,us_national,202401,5744,Mid,6,4,0,1,1,3,3,3,3,1,68928,82713.6
143,2,7,us_national,202401,2889,Low,2,2,2,0,2,4,4,3,3,0,34668,41601.6
144,2,3,us_national,202401,2871,Low,0,0,0,0,5,4,2,3,3,0,34452,27561.6
145,2,1,us_national,202401,7484,High,13,12,12,0,1,1,1,2,4,0,89808,71846.4
147,2,3,us_national,202401,6074,Mid,9,7,0,1,3,3,1,3,4,1,72888,58310.4
148,1,4,us_national,202401,17328,High,5,3,4,1,3,4,4,3,3,0,207936,166348.8
150,2,3,us_national,202401,2774,Low,5,3,1,0,2,3,2,3,3,0,33288,26630.4
151,2,7,us_national,202401,4505,Mid,1,0,0,0,3,2,3,3,3,0,54060,64872.0
152,3,8,us_national,202401,7428,High,5,3,1,0,3,4,3,3,3,0,89136,106963.2
153,2,4,us_national,202401,11631,High,11,10,5,0,6,1,3,3,3,0,139572,111657.6
154,3,8,us_national,202401,9738,High,9,7,2,0,6,4,2,3,3,0,116856,140227.2
155,2,3,us_national,202401,2835,Low,1,0,0,0,2,4,1,3,4,0,34020,27216.0
158,3,4,us_national,202401,16959,High,25,12,4,1,3,4,3,4,3,0,203508,162806.4
159,2,7,us_national,202401,2613,Low,10,7,0,0,2,3,1,2,4,0,31356,37627.2
160,3,8,us_national,202401,6146,Mid,7,7,0,0,2,2,3,4,3,0,73752,88502.4
161,2,7,us_national,202401,4963,Mid,5,4,4,1,2,2,2,3,3,1,59556,71467.2
162,2,6,us_national,202401,19537,High,20,18,15,0,5,3,1,3,3,0,234444,187555.2
163,3,8,us_national,202401,6172,Mid,7,7,7,1,3,3,2,2,3,1,74064,88876.8
164,2,7,us_national,202401,2368,Low,5,4,4,0,3,2,3,2,3,0,28416,34099.2
165,2,1,us_national,202401,10312,High,40,10,15,0,3,4,4,2,3,1,123744,98995.2
167,3,9,us_national,202401,1675,Low,0,0,0,1,2,3,4,2,3,1,20100,16080.0
169,2,3,us_national,202401,2523,Low,2,1,2,0,2,4,3,3,3,0,30276,24220.8
170,2,5,us_national,202401,6567,High,15,11,5,0,2,1,3,2,3,0,78804,63043.2
171,2,7,us_national,202401,4739,Mid,3,2,1,0,2,3,2,3,3,0,56868,68241.6
174,3,8,us_national,202401,9208,High,2,2,2,0,3,4,3,3,3,0,110496,132595.2
175,3,8,us_national,202401,4559,Mid,2,2,2,1,2,3,2,3,3,1,54708,65649.6
176,3,8,us_national,202401,8189,High,9,7,0,1,2,3,3,3,3,0,98268,117921.6
177,1,2,us_national,202401,2942,Low,8,7,5,0,3,3,3,3,4,0,35304,28243.2
178,2,5,us_national,202401,4941,Mid,3,2,0,0,0,2,2,3,4,0,59292,47433.6
179,2,5,us_national,202401,10650,High,4,2,0,0,2,4,1,3,3,1,127800,102240.0
182,3,8,us_national,202401,5902,Mid,15,11,5,0,1,3,4,4,3,0,70824,84988.8
183,3,8,us_national,202401,8639,High,2,2,2,0,3,3,1,3,3,0,103668,124401.6
184,1,2,us_national,202401,6347,Mid,11,9,4,1,2,4,3,1,3,0,76164,60931.2
190,2,3,us_national,202401,4200,Low,5,4,0,0,2,1,1,4,4,1,50400,40320.0
192,2,7,us_national,202401,3452,Low,6,5,0,0,2,4,3,2,3,0,41424,49708.8
193,2,7,us_national,202401,4317,Low,3,2,2,1,2,3,4,3,4,0,51804,62164.8
194,2,7,us_national,202401,2632,Low,5,4,0,0,4,3,1,2,3,0,31584,37900.8
195,3,8,us_national,202401,4668,Mid,8,7,0,0,2,4,4,4,3,0,56016,67219.2
197,2,7,us_national,202401,3204,Low,3,2,2,0,3,1,4,3,3,0,38448,46137.6
198,2,3,us_national,202401,2720,Low,5,3,1,0,3,4,2,3,3,0,32640,26112.0
199,2,4,us_national,202401,17181,High,7,6,7,0,2,1,4,2,3,0,206172,164937.6
200,2,3,us_national,202401,2238,Low,5,0,1,0,2,1,3,3,4,0,26856,21484.8
201,2,3,us_national,202401,1483,Low,1,0,0,0,3,2,2,3,3,0,17796,14236.8
202,2,7,us_national,202401,5605,Mid,20,7,2,0,2,2,2,3,3,0,67260,80712.0
204,3,8,us_national,202401,7295,High,10,8,0,0,3,2,3,3,3,0,87540,105048.0
205,3,9,us_national,202401,2306,Low,7,7,4,1,3,3,2,1,4,0,27672,22137.6
206,2,3,us_national,202401,2348,Low,17,9,0,0,2,2,2,1,3,0,28176,22540.8
207,3,8,us_national,202401,8998,High,9,8,3,0,2,4,2,3,3,0,107976,129571.2
208,2,5,us_national,202401,4319,Low,10,7,0,0,1,3,4,3,3,0,51828,41462.4
211,2,5,us_national,202401,6132,Mid,1,0,0,0,2,3,2,3,3,0,73584,58867.2
214,2,7,us_national,202401,3346,Low,1,0,0,1,3,2,2,2,4,0,40152,48182.4
215,3,8,us_national,202401,10855,High,12,11,2,0,2,4,3,2,3,0,130260,156312.0
216,3,9,us_national,202401,2231,Low,4,3,1,0,3,3,3,3,3,0,26772,21417.6
217,2,7,us_national,202401,2323,Low,2,2,2,0,6,4,3,3,4,0,27876,33451.2
218,2,7,us_national,202401,2024,Low,2,2,2,0,1,2,4,1,3,0,24288,29145.6
221,2,7,us_national,202401,2713,Low,5,2,0,0,2,4,3,1,3,0,32556,39067.2
223,2,1,us_national,202401,9439,High,5,3,1,1,2,4,3,1,3,0,113268,90614.4
224,2,7,us_national,202401,2566,Low,1,1,0,1,2,3,3,2,3,0,30792,36950.4
226,2,4,us_national,202401,19926,High,5,4,4,0,5,2,3,3,3,0,239112,191289.6
227,2,7,us_national,202401,2451,Low,9,8,1,0,2,3,1,3,3,0,29412,35294.4
228,3,8,us_national,202401,9419,High,10,9,7,0,2,4,2,3,3,0,113028,135633.6
230,3,8,us_national,202401,8686,High,8,3,0,0,2,4,1,4,4,0,104232,125078.4
231,2,7,us_national,202401,3038,Low,5,4,1,0,2,3,3,3,4,0,36456,43747.2
233,2,7,us_national,202401,3058,Low,5,2,1,1,3,2,3,2,3,0,36696,44035.2
235,3,9,us_national,202401,2325,Low,0,0,0,0,5,1,3,4,4,1,27900,22320.0
238,2,3,us_national,202401,2088,Low,8,7,7,0,3,2,4,2,3,0,25056,20044.8
239,2,3,us_national,202401,3072,Low,12,9,6,0,4,1,3,3,3,0,36864,29491.2
240,3,8,us_national,202401,5006,Mid,5,4,0,1,3,1,3,4,3,0,60072,72086.4
241,2,7,us_national,202401,4257,Low,2,2,2,1,3,1,3,3,3,0,51084,61300.8
242,2,7,us_national,202401,2500,Low,3,1,0,0,2,4,3,4,3,0,30000,36000.0
243,2,3,us_national,202401,1102,Low,1,0,1,0,3,4,2,2,4,1,13224,10579.2
244,3,8,us_national,202401,10453,High,24,13,15,0,2,1,2,3,4,0,125436,150523.2
245,2,3,us_national,202401,2288,Low,2,2,2,0,3,4,3,3,3,0,27456,21964.8
246,2,7,us_national,202401,3929,Low,4,2,0,1,0,4,3,3,4,0,47148,56577.6
247,2,7,us_national,202401,2311,Low,3,2,1,0,3,2,4,3,3,0,27732,33278.4
248,3,9,us_national,202401,3140,Low,4,3,0,1,5,2,2,2,4,1,37680,30144.0
249,2,3,us_national,202401,3690,Low,3,2,0,0,2,3,3,2,3,0,44280,35424.0
250,2,5,us_national,202401,4450,Low,4,2,1,0,3,1,4,3,3,0,53400,42720.0
252,2,7,us_national,202401,2756,Low,8,7,1,0,5,2,4,3,3,0,33072,39686.4
253,2,4,us_national,202401,19033,High,20,8,9,0,2,3,4,3,3,0,228396,182716.8
254,2,6,us_national,202401,18722,High,24,15,2,0,3,2,3,3,3,0,224664,179731.2
256,2,5,us_national,202401,9547,High,10,9,1,0,2,3,4,2,3,0,114564,91651.2
258,2,1,us_national,202401,13734,High,7,7,1,0,6,2,4,3,3,0,164808,131846.4
259,2,4,us_national,202401,19999,High,33,18,11,0,5,3,3,3,3,0,239988,191990.4
260,2,7,us_national,202401,2279,Low,7,7,0,0,2,2,4,2,3,0,27348,32817.6
261,2,5,us_national,202401,5916,Mid,1,0,0,1,1,3,2,3,3,1,70992,56793.6
262,2,7,us_national,202401,2089,Low,5,4,2,0,3,4,4,4,3,0,25068,30081.6
264,2,4,us_national,202401,16792,High,20,8,11,0,1,4,1,3,4,0,201504,161203.2
267,2,7,us_national,202401,3564,Low,8,7,1,1,3,1,2,2,3,0,42768,51321.6
269,2,3,us_national,202401,4425,Low,6,2,1,0,5,2,2,3,3,0,53100,42480.0
270,2,5,us_national,202401,5265,Mid,5,3,0,0,5,3,3,3,3,0,63180,50544.0
271,2,5,us_national,202401,6553,High,1,0,0,0,3,3,4,3,3,0,78636,62908.8
273,2,5,us_national,202401,6261,Mid,7,7,1,0,3,4,4,1,3,0,75132,60105.6
274,2,5,us_national,202401,4298,Low,2,2,2,0,1,1,3,3,3,0,51576,41260.8
275,2,5,us_national,202401,6804,High,7,7,1,1,0,4,4,3,3,0,81648,65318.4
277,2,7,us_national,202401,3815,Low,5,3,2,1,4,3,4,4,3,0,45780,54936.0
281,2,3,us_national,202401,2741,Low,7,2,3,1,2,4,3,4,3,0,32892,26313.6
282,2,1,us_national,202401,6673,High,1,0,0,1,2,1,2,3,3,1,80076,64060.8
283,3,8,us_national,202401,7639,High,10,4,1,0,3,4,2,2,4,1,91668,110001.6
284,2,7,us_national,202401,2328,Low,4,2,2,1,2,2,4,2,3,0,27936,33523.2
286,2,3,us_national,202401,2153,Low,8,1,1,0,2,4,2,3,3,0,25836,20668.8
287,2,1,us_national,202401,4876,Mid,3,2,0,0,5,4,4,1,3,0,58512,46809.6
288,2,1,us_national,202401,9396,High,4,2,0,0,3,1,4,3,3,0,112752,90201.6
291,3,8,us_national,202401,10400,High,14,8,9,0,2,4,4,2,3,1,124800,149760.0
292,2,5,us_national,202401,8474,High,11,8,5,0,2,3,3,3,4,0,101688,81350.4
293,3,8,us_national,202401,9981,High,7,7,0,0,2,3,4,3,3,0,119772,143726.4
296,2,6,us_national,202401,12490,High,10,9,4,0,5,2,2,1,3,0,149880,119904.0
297,2,7,us_national,202401,2657,Low,5,2,0,1,5,1,4,3,3,1,31884,38260.8
298,3,4,us_national,202401,13591,High,1,0,0,1,3,4,4,3,3,0,163092,130473.6
299,3,8,us_national,202401,6696,High,6,3,0,0,5,1,3,2,3,1,80352,96422.4
300,2,7,us_national,202401,2058,Low,6,2,1,0,1,3,3,2,3,1,24696,29635.2
302,3,8,us_national,202401,8865,High,19,7,12,0,2,4,4,3,3,0,106380,127656.0
303,3,8,us_national,202401,5940,Mid,6,2,0,0,4,1,4,3,3,0,71280,85536.0
304,2,3,us_national,202401,5914,Mid,13,11,3,0,3,2,4,4,3,0,70968,56774.4
305,2,7,us_national,202401,2622,Low,3,2,1,0,3,2,3,3,4,0,31464,37756.8
306,2,6,us_national,202401,12185,High,10,8,0,1,1,4,2,3,3,0,146220,116976.0
307,3,8,us_national,202401,10609,High,16,10,5,0,6,3,1,2,3,0,127308,152769.6
308,2,5,us_national,202401,4345,Low,5,4,1,0,2,3,3,3,3,0,52140,41712.0
309,2,7,us_national,202401,2177,Low,1,0,0,0,6,4,3,3,3,0,26124,31348.8
311,3,9,us_national,202401,2793,Low,9,8,5,0,2,4,1,3,3,0,33516,26812.8
312,3,8,us_national,202401,7918,High,11,10,4,0,5,4,2,3,3,0,95016,114019.2
314,3,8,us_national,202401,8789,High,10,7,0,0,3,3,3,4,3,0,105468,126561.6
315,2,7,us_national,202401,2389,Low,4,3,0,1,3,4,3,2,3,1,28668,34401.6
316,2,3,us_national,202401,3212,Low,2,2,2,0,3,4,3,2,3,0,38544,30835.2
319,2,4,us_national,202401,19232,High,22,17,11,0,3,4,3,3,3,0,230784,184627.2
321,1,2,us_national,202401,2267,Low,2,2,2,0,2,3,2,2,3,0,27204,21763.2
323,3,4,us_national,202401,19517,High,7,0,0,0,3,4,4,2,3,0,234204,187363.2
325,2,3,us_national,202401,2436,Low,5,4,0,1,2,4,3,1,3,1,29232,23385.6
327,3,4,us_national,202401,16064,High,17,13,1,1,3,4,4,3,4,0,192768,154214.4
328,2,3,us_national,202401,2707,Low,9,7,1,0,3,1,1,4,4,1,32484,25987.2
329,3,4,us_national,202401,19068,High,33,7,15,1,2,3,1,4,3,0,228816,183052.8
330,3,9,us_national,202401,3931,Low,4,3,1,0,5,2,3,3,3,0,47172,37737.6
331,2,3,us_national,202401,3730,Low,3,2,1,1,2,3,4,1,3,1,44760,35808.0
332,2,3,us_national,202401,2232,Low,3,2,1,0,1,3,3,3,3,0,26784,21427.2
333,3,8,us_national,202401,4465,Low,3,2,2,0,2,4,3,3,3,0,53580,64296.0
334,2,7,us_national,202401,3072,Low,1,0,0,0,2,1,3,2,3,0,36864,44236.8
335,2,7,us_national,202401,3319,Low,9,8,4,0,3,4,1,3,3,0,39828,47793.6
336,2,4,us_national,202401,19202,High,24,0,1,0,2,4,3,3,3,0,230424,184339.2
337,2,6,us_national,202401,13675,High,2,2,2,0,3,3,2,3,3,0,164100,131280.0
338,2,7,us_national,202401,2911,Low,2,2,0,0,2,4,3,2,3,0,34932,41918.4
339,2,5,us_national,202401,5957,Mid,11,9,5,0,3,1,4,3,3,0,71484,57187.2
340,2,7,us_national,202401,3920,Low,3,1,0,0,2,1,3,2,3,0,47040,56448.0
341,2,5,us_national,202401,6434,Mid,3,2,0,0,1,3,1,3,3,0,77208,61766.4
342,2,5,us_national,202401,10048,High,1,0,0,0,5,3,1,3,3,1,120576,96460.8
343,2,1,us_national,202401,10938,High,19,6,11,0,1,3,3,3,4,0,131256,105004.8
346,2,7,us_national,202401,2340,Low,6,5,1,0,1,4,3,3,3,0,28080,33696.0
347,2,7,us_national,202401,6545,High,3,2,0,1,1,1,4,3,3,0,78540,94248.0
349,3,8,us_national,202401,6931,High,3,2,0,0,2,4,4,3,3,0,83172,99806.4
350,2,5,us_national,202401,4898,Mid,4,2,1,0,3,3,1,3,3,0,58776,47020.8
351,2,3,us_national,202401,2593,Low,9,6,7,1,4,1,4,3,3,0,31116,24892.8
352,2,6,us_national,202401,19436,High,21,7,3,0,5,3,1,3,3,0,233232,186585.6
353,2,7,us_national,202401,2723,Low,1,0,0,0,0,4,3,2,3,0,32676,39211.2
355,2,3,us_national,202401,3479,Low,5,4,1,0,2,2,3,4,3,1,41748,33398.4
359,2,3,us_national,202401,2794,Low,5,1,0,0,3,2,2,1,4,0,33528,26822.4
361,3,8,us_national,202401,5249,Mid,8,7,7,0,0,4,4,3,3,0,62988,75585.6
362,2,3,us_national,202401,2176,Low,6,2,0,0,5,1,4,3,3,0,26112,20889.6
363,3,4,us_national,202401,16872,High,7,7,7,1,2,2,3,2,3,0,202464,161971.2
364,2,3,us_national,202401,3485,Low,0,0,0,0,5,3,1,1,3,1,41820,33456.0
366,3,8,us_national,202401,6644,High,0,0,0,0,2,2,1,3,3,0,79728,95673.6
367,2,1,us_national,202401,5582,Mid,9,0,7,0,2,4,2,3,4,0,66984,53587.2
369,2,1,us_national,202401,4000,Low,6,3,1,0,2,1,2,3,3,0,48000,38400.0
372,2,1,us_national,202401,13496,High,20,7,4,1,2,4,3,3,3,0,161952,129561.6
373,2,3,us_national,202401,3210,Low,15,13,10,0,4,4,4,3,3,0,38520,30816.0
374,2,4,us_national,202401,19045,High,36,10,4,1,2,1,4,3,3,0,228540,182832.0
376,2,4,us_national,202401,11849,High,10,7,9,1,2,2,1,2,3,1,142188,113750.4
377,2,7,us_national,202401,2070,Low,5,2,0,0,3,4,4,2,4,0,24840,29808.0
378,3,8,us_national,202401,6502,High,5,4,0,0,5,4,3,4,3,0,78024,93628.8
379,2,7,us_national,202401,3230,Low,3,2,1,0,4,3,4,4,3,0,38760,46512.0
380,2,6,us_national,202401,13603,High,5,2,0,1,2,4,1,3,3,0,163236,130588.8
381,2,4,us_national,202401,11996,High,7,7,6,0,6,2,2,2,3,0,143952,115161.6
382,3,8,us_national,202401,5605,Mid,8,0,7,1,3,1,1,3,4,0,67260,80712.0
384,2,5,us_national,202401,6397,Mid,6,5,1,0,6,2,3,1,4,0,76764,61411.2
385,2,6,us_national,202401,19144,High,10,4,1,0,4,2,1,2,3,0,229728,183782.4
386,2,6,us_national,202401,17584,High,5,3,1,1,5,3,3,2,3,0,211008,168806.4
387,3,8,us_national,202401,4907,Mid,20,16,11,0,3,3,2,3,4,0,58884,70660.8
388,3,8,us_national,202401,4554,Mid,10,7,0,0,3,4,2,2,3,0,54648,65577.6
389,2,3,us_national,202401,5415,Mid,10,7,0,1,4,4,2,3,3,0,64980,51984.0
390,2,1,us_national,202401,4741,Mid,5,3,3,1,3,1,1,3,3,0,56892,45513.6
391,2,7,us_national,202401,2115,Low,17,12,5,0,3,4,4,3,3,0,25380,30456.0
392,2,3,us_national,202401,3161,Low,1,0,0,1,0,3,4,1,4,1,37932,30345.6
393,2,1,us_national,202401,5745,Mid,2,2,1,0,2,4,4,3,3,0,68940,55152.0
394,2,3,us_national,202401,2373,Low,3,2,0,1,2,2,1,3,3,1,28476,22780.8
395,2,7,us_national,202401,3310,Low,5,3,0,0,3,4,4,3,4,0,39720,47664.0
396,2,6,us_national,202401,18665,High,3,2,1,1,4,1,3,3,3,0,223980,179184.0
397,2,7,us_national,202401,4485,Low,8,0,7,0,2,2,3,3,3,0,53820,64584.0
399,3,9,us_national,202401,2789,Low,2,2,2,0,5,2,4,2,3,0,33468,26774.4
