employee_id,date_id,attrition_probability,risk_band,main_risk_driver,recommended_action,model_version
160,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
161,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
162,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
163,202401,0.7,High Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
164,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
165,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
167,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
169,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
170,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
171,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
174,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
175,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
176,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
177,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
178,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
179,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
182,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
183,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
184,202401,0.7,High Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
190,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
192,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
193,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
194,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
195,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
197,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
198,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
199,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
200,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
201,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
202,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
204,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
205,202401,0.8,High Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
206,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
207,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
208,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
211,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
214,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
215,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
216,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
217,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
218,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
221,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
223,202401,0.55,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
224,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
226,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
227,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
228,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
230,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
231,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
233,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
235,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
238,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
239,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
240,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
241,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
242,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
243,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
244,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
245,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
246,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
247,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
248,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
249,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
250,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
252,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
253,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
254,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
256,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
258,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
259,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
260,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
261,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
262,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
264,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
267,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
269,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
270,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
271,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
273,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
274,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
275,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
277,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
281,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
282,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
283,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
284,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
286,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
287,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
288,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
291,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
292,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
293,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
296,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
297,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
298,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
299,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
300,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
302,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
303,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
304,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
305,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
306,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
307,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
308,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
309,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
311,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
312,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
314,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
315,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
316,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
319,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
321,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
323,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
325,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
327,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
328,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
329,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
330,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
331,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
332,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
333,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
334,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
335,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
336,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
337,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
338,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
339,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
340,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
341,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
342,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
343,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
346,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
347,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
349,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
350,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
351,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
352,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
353,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
355,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
359,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
361,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
362,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
363,202401,0.7,High Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
364,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
366,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
367,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
369,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
372,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
373,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
374,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
376,202401,0.7,High Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
377,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
378,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
379,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
380,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
381,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
382,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
384,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
385,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
386,202401,0.55,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
387,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
388,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
389,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
390,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
391,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
392,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
393,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
394,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
395,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
396,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
397,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
399,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
401,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
403,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
404,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
405,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
406,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
407,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
408,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
410,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
411,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
412,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
416,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
417,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
419,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
420,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
421,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
422,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
423,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
424,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
425,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
426,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
428,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
429,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
430,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
431,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
433,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
434,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
436,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
437,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
438,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
